Key,en,es,ar,fr
Merchant Developer Api Key,Merchant Developer Api Key,Clave de API de desarrollador comercial,مفتاح مطور التاجر API,Clé API développeur marchand
Developer API not found!,Developer API not found!,¡API de desarrollador no se encuentra!,لم يتم العثور على API مطور!,API du développeur n'est pas trouvé!
Your Wallet Balance System Already Enabled,Your Wallet Balance System Already Enabled,Su sistema de balance de billetera ya habilitado,تم تمكين نظام توازن المحفظة الخاص بك بالفعل,Votre système d'équilibre de portefeuille est déjà activé
DYour Wallet Balance System Already Disabled,Your Wallet Balance System Already Disabled,Su sistema de balance de billetera ya está deshabilitado,نظام توازن المحفظة الخاص بك معطل بالفعل,Votre système d'équilibre de portefeuille déjà désactivé
EWallet Balance System Enabled Successfully,Wallet Balance System Enabled Successfully,Sistema de balance de billetera habilitado con éxito,تم تمكين نظام توازن المحفظة بنجاح,Système d'équilibre du portefeuille activé avec succès
Wallet Balance System Disabled Successfully,Wallet Balance System Disabled Successfully,Sistema de balance de billetera Desactivado con éxito,نظام توازن المحفظة المعاق بنجاح,Système d'équilibre du portefeuille désactivé avec succès
EYour Virtual Card System Already Enabled,Your Virtual Card System Already Enabled,Su sistema de tarjeta virtual ya habilitado,تم تمكين نظام البطاقات الافتراضية بالفعل,Votre système de cartes virtuels a déjà activé
Your Virtual Card System Already Disabled,Your Virtual Card System Already Disabled,Su sistema de tarjeta virtual ya está deshabilitado,نظام البطاقات الافتراضي الخاص بك معطل بالفعل,Votre système de cartes virtuels déjà désactivé
EVirtual Card System Enabled Successfully,Virtual Card System Enabled Successfully,Sistema de tarjeta virtual habilitado con éxito,تم تمكين نظام البطاقات الافتراضية بنجاح,Système de cartes virtuelles activées avec succès
Virtual Card System Disabled Successfully,Virtual Card System Disabled Successfully,Sistema de tarjetas virtuales deshabilitado con éxito,تعطيل نظام البطاقة الافتراضي بنجاح,Système de cartes virtuelles désactivé avec succès
EYour Master/Visa System Already Enabled,Your Master/Visa System Already Enabled,Su sistema de maestría/visa ya habilitado,تم تمكين نظامك الرئيسي/التأشيرة بالفعل,Votre système de maître / visa est déjà activé
Your Master/Visa System Already Disabled,Your Master/Visa System Already Disabled,Su sistema de maestría/visa ya está deshabilitado,نظام Master/Visa الخاص بك معطل بالفعل,Votre système maître / visa est déjà désactivé
EMaster/Visa System Enabled Successfully,Master/Visa System Enabled Successfully,Sistema maestro/visa habilitado con éxito,تم تمكين نظام Master/Visa بنجاح,Le système maître / visa a permis de réussir
Master/Visa System Disabled Successfully,Master/Visa System Disabled Successfully,Sistema maestro/visa deshabilitado con éxito,تعطيل نظام Master/Visa بنجاح,Système maître / visa désactivé avec succès
Withdraw Money Information!,Withdraw Money Information!,¡Retire la información del dinero!,سحب معلومات المال!,Retirer des informations d'argent!
Add Money Information!,Add Money Information!,¡Agrega información de dinero!,أضف معلومات المال!,Ajouter des informations d'argent!
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Los datos del idioma obtienen con éxito!,جلب بيانات اللغة بنجاح!,Les données linguistiques s'approchent avec succès!
Basic information fetch successfully,Basic information fetch successfully,Información básica para obtener con éxito,المعلومات الأساسية جلبت بنجاح,Informations de base Récupérez avec succès
Clear cache successfully,Clear cache successfully,Borrar el caché correctamente,مسح ذاكرة التخزين المؤقت بنجاح,Effacer le cache avec succès
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregar dinero insertado con éxito,أضف أموالًا تم إدخالها بنجاح,Ajouter de l'argent inséré avec succès
crypto Payment Address,Crypto Payment,Pago criptográfico,دفع التشفير,Paiement de cryptographie
pay With This Address,Pay WithThis Address,Pagar con esta dirección,دفع هذا العنوان,Payer cette adresse
proceed,Proceed,Proceder,يتابع,Procéder
enter House Number,Enter House Number,Ingrese el número de la casa,أدخل رقم المنزل,Entrez le numéro de maison
id Number,Id Number,Número de identificación,رقم الهوية,Numéro d'identification
enter Id Number,Enter Id Number,Ingrese el número de identificación,أدخل رقم المعرف,Entrez le numéro d'identification
customer Email,Customer Email,Correo electrónico del cliente,البريد الإلكتروني العميل,Email client
enter Customer Email,Enter Customer Email,Ingrese el correo electrónico del cliente,أدخل البريد الإلكتروني للعميل,Entrez le courrier électronique du client
enter Date Of Birth,mm/day/year,mm/día/año,مم/يوم/سنة,mm / jour / an
date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد,Date de naissance
enter Phone Number,Enter Phone Number ,Ingresa número telefónico,أدخل رقم الهاتف,Entrez le numéro de téléphone
cardI d,Card Id ,Tarjeta de identificacion,بطاقة الهوية,Identifiant de carte
customer Id,Customer Id,Identificación del cliente,هوية الزبون,N ° de client
house Number,House Number,Número de casa,رقم الدار,Numéro de maison
line1,Line 1,Línea 1,خط 1,Ligne 1
enterLine1,Enter Line 1,Ingrese la línea 1,إدخال السطر 1,Entrez la ligne 1
enter Select City,Enter Select City ,Ingrese Seleccionar Ciudad,أدخل مدينة تحديد,Entrez la ville sélectionnée
please Follow The Limit,Please follow the limit ,Siga el límite,يرجى اتباع الحد الأقصى,Veuillez suivre la limite
you Don Not Buy Card,You do not buy card,No compras tarjeta,أنت لا تشتري بطاقة,Vous n'achetez pas de carte
address Copy To,Address copy to clipboard,Dirección de copia al portapapeles,عنوان نسخة إلى الحافظة,Adressez la copie dans le presse-papiers
